Puzzle Difficulty,Elapsed Time (ns)
0.309,112731
0.309,70585
0.309,321018
0.309,159721
0.309,180438
0.309,1970762
0.309,602905
0.309,1245272
0.309,625186
0.309,435897
0.309,2959413
0.309,1297766
0.309,724701
0.309,441108
0.309,750002
0.309,130252
0.309,85147
0.309,83095
0.309,290231
0.309,759448
0.309,147982
0.309,1723356
0.309,106781
0.309,92458
0.309,104241
0.309,63182
0.309,756659
0.309,1065725
0.309,124413
0.309,91965
0.309,179721
0.309,33304
0.309,612403
0.309,388750
0.309,47354
0.309,347959
0.309,288447
0.309,788681
0.309,359101
0.309,90316
0.309,349838
0.309,697148
0.309,202820
0.309,123896
0.309,53559
0.309,351876
0.309,435928
0.309,99427
0.309,126413
0.309,574424
0.309,203837
0.309,480766
0.309,131289
0.309,1538976
0.309,1074258
0.309,127658
0.309,96485
0.309,1559580
0.309,741508
0.309,1150855
0.309,266520
0.309,75666
0.309,142361
0.309,364456
0.309,793555
0.309,1142742
0.309,70418
0.309,115905
0.309,535994
0.309,83958
0.309,200104
0.309,134793
0.309,128035
0.309,67762
0.309,150383
0.309,123146
0.309,154920
0.309,94378
0.309,60127
0.309,77287
0.309,421359
0.309,231030
0.309,171556
0.309,760652
0.309,331765
0.309,140411
0.309,77297
0.309,742346
0.309,301664
0.309,185581
0.309,114221
0.309,446247
0.309,136633
0.309,770902
0.309,270074
0.309,312525
0.309,58837
0.309,238600
0.309,514436
0.309,527767
0.309,109696
0.309,123704
0.309,567379
0.309,3820947
0.309,401650
0.309,448335
0.309,122806
0.309,1122568
0.309,163405
0.309,123063
0.309,1135393
0.309,129771
0.309,447489
0.309,152285
0.309,85976
0.309,325156
0.309,291747
0.309,1642054
0.309,138441
0.309,165611
0.309,342663
0.309,152071
0.309,173537
0.309,66982
0.309,199843
0.309,380965
0.309,623870
0.309,225032
0.309,392119
0.309,99253
0.309,926378
0.309,341949
0.309,1732151
0.309,155656
0.309,2273833
0.309,361784
0.309,113233
0.309,46685
0.309,397826
0.309,560305
0.309,739136
0.309,425891
0.309,912886
0.309,228686
0.309,182180
0.309,537055
0.309,593806
0.309,84291
0.309,163830
0.309,302055
0.309,252617
0.309,73760
0.309,221028
0.309,75078
0.309,174676
0.309,90466
0.309,835509
0.309,113193
0.309,108608
0.309,747019
0.309,45112
0.309,975714
0.309,493007
0.309,790001
0.309,118904
0.309,242769
0.309,1820949
0.309,137186
0.309,90286
0.309,1922237
0.309,268906
0.309,70792
0.309,419441
0.309,86208
0.309,327724
0.309,107705
0.309,212286
0.309,169926
0.309,49899
0.309,221192
0.309,212483
0.309,199796
0.309,65113
0.309,535228
0.309,392680
0.309,651711
0.309,479304
0.309,298839
0.309,98729
0.309,332582
0.309,59747
0.309,803108
0.309,136531
0.309,209987
0.309,193016
0.309,303796
0.309,108153
0.309,105086
0.309,99587
0.309,151981
0.309,824172
0.309,162480
0.309,177921
0.309,970652
0.309,679110
0.309,491427
0.309,113038
0.309,269449
0.309,797135
0.309,90066
0.309,722844
0.309,364540
0.309,168702
0.309,870139
0.309,304665
0.309,74567
0.309,1163487
0.309,92420
0.309,721686
0.309,213220
0.309,305033
0.309,543411
0.309,1041929
0.309,121644
0.309,78512
0.309,209888
0.309,188723
0.309,260517
0.309,2298947
0.309,146187
0.309,66817
0.309,2077185
0.309,105915
0.309,1512220
0.309,161723
0.309,775371
0.309,260930
0.309,103190
0.309,881652
0.309,264586
0.309,85743
0.309,193258
0.309,690002
0.309,170228
0.309,1662457
0.309,282931
0.309,583834
0.309,215428
0.309,270156
0.309,813111
0.309,877845
0.309,359648
0.309,99604
0.309,99185
0.309,178341
0.309,213189
0.309,280867
0.309,598196
0.309,182527
0.309,394387
0.309,287026
0.321,891934
0.321,705196
0.321,411305
0.321,96553
0.321,89855
0.321,105257
0.321,2162809
0.321,312957
0.321,190181
0.321,68918
0.321,125657
0.321,609331
0.321,140708
0.321,194398
0.321,685279
0.321,350130
0.321,142494
0.321,249625
0.321,104095
0.321,258304
0.321,324011
0.321,259693
0.321,473153
0.321,191099
0.321,1051631
0.321,1717154
0.321,690318
0.321,170061
0.321,921904
0.321,445701
0.321,974059
0.321,1468038
0.321,738479
0.321,139862
0.321,279941
0.321,185255
0.321,113060
0.321,301368
0.321,416550
0.321,1014966
0.321,76076
0.321,240868
0.321,268496
0.321,586687
0.321,272683
0.321,315505
0.321,177483
0.321,152466
0.321,86448
0.321,264125
0.321,590246
0.321,1069810
0.321,543195
0.321,316793
0.321,592562
0.321,987410
0.321,192434
0.321,57504
0.321,172462
0.321,297230
0.321,95591
0.321,93595
0.321,157480
0.321,67280
0.321,1738453
0.321,458114
