Puzzle Difficulty,Resolution (ns),Elapsed Time (ns)
0.703704,1.000000,55515.000000
0.703704,1.000000,204759.000000
0.703704,1.000000,456906.000000
0.703704,1.000000,343836.000000
0.703704,1.000000,42165.000000
0.703704,1.000000,75057.000000
0.703704,1.000000,2989561.000000
0.703704,1.000000,1561033.000000
0.703704,1.000000,52093.000000
0.703704,1.000000,268664.000000
0.703704,1.000000,114243.000000
0.703704,1.000000,321506.000000
0.703704,1.000000,105152.000000
0.703704,1.000000,8483506.000000
0.703704,1.000000,160507.000000
0.703704,1.000000,264664.000000
0.703704,1.000000,3582293.000000
0.703704,1.000000,2894634.000000
0.703704,1.000000,75788.000000
0.703704,1.000000,238447.000000
0.703704,1.000000,1587163.000000
0.703704,1.000000,258120.000000
0.703704,1.000000,37597.000000
0.703704,1.000000,87521.000000
0.703704,1.000000,3118252.000000
0.703704,1.000000,1842460.000000
0.703704,1.000000,2218920.000000
0.703704,1.000000,6851231.000000
0.703704,1.000000,4467186.000000
0.703704,1.000000,731761.000000
0.703704,1.000000,603255.000000
0.703704,1.000000,1457863.000000
0.703704,1.000000,1171409.000000
0.703704,1.000000,1067088.000000
0.703704,1.000000,826982.000000
0.703704,1.000000,1898418.000000
0.703704,1.000000,220108.000000
0.703704,1.000000,7513932.000000
0.703704,1.000000,1684573.000000
0.703704,1.000000,4378913.000000
0.703704,1.000000,3479250.000000
0.703704,1.000000,1048943.000000
0.703704,1.000000,5575347.000000
0.703704,1.000000,714430.000000
0.703704,1.000000,348736.000000
0.703704,1.000000,1733115.000000
0.703704,1.000000,1010366.000000
0.703704,1.000000,1089807.000000
0.703704,1.000000,1094042.000000
0.703704,1.000000,1145648.000000
0.703704,1.000000,188803.000000
0.703704,1.000000,1652121.000000
0.703704,1.000000,5115927.000000
0.703704,1.000000,170644.000000
0.703704,1.000000,681971.000000
0.703704,1.000000,218370.000000
0.703704,1.000000,1837589.000000
0.703704,1.000000,56448.000000
0.703704,1.000000,1590432.000000
0.703704,1.000000,6018278.000000
0.703704,1.000000,765254.000000
0.703704,1.000000,181209.000000
0.703704,1.000000,4093898.000000
0.703704,1.000000,936944.000000
0.703704,1.000000,117604.000000
0.703704,1.000000,777284.000000
