Puzzle Difficulty,Resolution (ns),Elapsed Time (ns)
0.790123,1.000000,17929495318.000000
0.790123,1.000000,17780237438.000000
0.790123,1.000000,16608239354.000000
0.790123,1.000000,16292586260.000000
0.790123,1.000000,15496802544.000000
0.790123,1.000000,14132844788.000000
0.790123,1.000000,14552746825.000000
0.790123,1.000000,12275285536.000000
0.790123,1.000000,12852850076.000000
0.790123,1.000000,12072298188.000000
